student_id,course_id,semester,grade,attendance_rate
1,2,Fall 2025,D,83.32
1,3,Fall 2025,A,79.71
1,11,Fall 2025,F,84.17
1,1,Spring 2026,C,62.54
1,12,Fall 2025,F,91.7
2,1,Fall 2025,B,79.11
2,11,Spring 2026,B,99.39
2,9,Spring 2026,,62.13
2,7,Fall 2025,F,95.56
2,2,Fall 2025,C,65.04
2,6,Fall 2025,A,63.21
2,5,Spring 2026,D,95.64
3,12,Fall 2025,F,63.39
3,11,Fall 2025,C,69.45
3,3,Spring 2026,C,85.82
3,10,Fall 2025,C,71.22
4,8,Spring 2026,B,78.97
4,7,Fall 2025,B,87.74
4,5,Spring 2026,D,91.58
4,4,Spring 2026,F,98.72
4,10,Spring 2026,B,63.12
4,6,Spring 2026,A,60.96
5,11,Spring 2026,C,83.6
5,4,Fall 2025,C,98.48
5,3,Spring 2026,D,97.26
5,10,Fall 2025,F,62.91
5,1,Spring 2026,B,91.63
5,8,Spring 2026,F,97.5
6,5,Fall 2025,C,81.46
6,7,Spring 2026,A,74.98
6,12,Fall 2025,F,69.61
7,12,Fall 2025,C,96.97
7,4,Fall 2025,C,84.89
7,11,Spring 2026,C,69.12
7,2,Fall 2025,D,87.13
8,9,Fall 2025,,92.45
8,5,Spring 2026,B,80.03
8,7,Fall 2025,D,97.43
8,8,Spring 2026,C,80.79
8,1,Spring 2026,C,91.85
9,11,Spring 2026,A,79.08
9,8,Fall 2025,D,84.87
9,5,Fall 2025,C,64.07
9,10,Fall 2025,D,77.33
9,6,Spring 2026,D,85.49
9,12,Spring 2026,F,74.78
10,12,Fall 2025,D,92.3
10,9,Fall 2025,D,60.37
10,1,Spring 2026,B,94.26
10,2,Spring 2026,D,89.55
10,7,Fall 2025,B,94.12
11,9,Spring 2026,C,65.76
11,11,Spring 2026,B,75.96
11,10,Fall 2025,A,66.05
11,12,Spring 2026,D,86.84
11,6,Fall 2025,C,90.59
11,7,Spring 2026,A,92.15
11,5,Fall 2025,C,85.86
12,6,Spring 2026,C,73.16
12,7,Fall 2025,B,76.57
12,5,Fall 2025,C,60.75
12,3,Spring 2026,B,68.65
12,9,Spring 2026,B,64.52
13,1,Spring 2026,C,90.2
13,8,Spring 2026,F,64.22
13,9,Fall 2025,F,85.25
13,12,Fall 2025,A,69.04
13,6,Fall 2025,D,98.49
13,4,Spring 2026,D,83.19
13,11,Fall 2025,A,60.05
14,6,Spring 2026,B,75.26
14,1,Spring 2026,B,91.1
14,9,Fall 2025,D,95.98
14,12,Fall 2025,C,66.59
14,8,Fall 2025,C,95.35
14,11,Spring 2026,B,96.92
14,10,Spring 2026,D,82.88
15,7,Spring 2026,B,92.11
15,12,Fall 2025,B,84.29
15,11,Spring 2026,,70.72
15,8,Fall 2025,D,64.3
16,8,Spring 2026,B,80.01
16,2,Spring 2026,A,83.96
16,3,Spring 2026,B,72.78
16,10,Fall 2025,B,63.63
16,9,Fall 2025,B,69.26
16,5,Fall 2025,C,75.67
16,6,Fall 2025,F,74.41
17,12,Fall 2025,D,76.04
17,2,Fall 2025,F,85.18
17,11,Fall 2025,A,98.25
17,9,Spring 2026,A,99.57
17,6,Spring 2026,F,69.15
17,7,Fall 2025,C,81.54
17,10,Spring 2026,A,90.76
18,1,Fall 2025,A,95.32
18,8,Spring 2026,D,68.44
18,4,Spring 2026,C,71.21
19,6,Fall 2025,A,66.16
19,5,Fall 2025,C,78.79
19,7,Spring 2026,B,89.78
19,12,Spring 2026,C,73.15
19,3,Fall 2025,F,73.51
19,2,Spring 2026,F,85.66
20,1,Spring 2026,F,83.88
20,7,Fall 2025,B,98.9
20,6,Fall 2025,B,74.1
20,10,Fall 2025,F,90.12
20,9,Spring 2026,F,61.02
20,2,Fall 2025,B,87.41
21,6,Fall 2025,C,99.42
21,8,Fall 2025,D,72.81
21,1,Fall 2025,C,62.33
22,10,Fall 2025,B,73.95
22,6,Fall 2025,C,95.96
22,12,Fall 2025,A,64.01
22,3,Fall 2025,A,63.3
22,9,Spring 2026,A,82.7
22,1,Fall 2025,C,96.72
23,1,Spring 2026,D,98.67
23,2,Fall 2025,A,69.92
23,3,Spring 2026,F,81.63
23,7,Spring 2026,A,86.95
24,8,Spring 2026,A,85.55
24,11,Spring 2026,A,93.47
24,6,Fall 2025,D,89.37
24,7,Fall 2025,D,98.53
24,9,Fall 2025,B,77.65
24,10,Spring 2026,B,82.18
24,12,Spring 2026,A,63.03
25,4,Fall 2025,B,79.7
25,11,Fall 2025,C,87.57
25,8,Spring 2026,D,94.46
25,9,Fall 2025,F,84.37
25,1,Spring 2026,C,83.07
25,12,Fall 2025,,85.57
25,10,Spring 2026,A,96.4
26,10,Fall 2025,D,87.76
26,4,Fall 2025,A,63.43
26,2,Spring 2026,D,88.87
26,8,Fall 2025,B,92.89
26,5,Spring 2026,F,65.89
26,3,Spring 2026,F,73.43
26,7,Fall 2025,A,79.21
27,7,Fall 2025,F,86.59
27,8,Spring 2026,A,61.76
27,6,Fall 2025,C,68.85
28,6,Spring 2026,B,82.21
28,12,Spring 2026,F,96.62
28,10,Fall 2025,C,80.35
28,2,Spring 2026,B,77.5
29,6,Spring 2026,A,81.4
29,4,Spring 2026,C,66.52
29,2,Fall 2025,C,73.98
29,12,Spring 2026,D,75.48
29,9,Spring 2026,F,69.75
29,10,Spring 2026,B,74.09
29,5,Spring 2026,C,75.51
30,3,Fall 2025,A,89.8
30,4,Spring 2026,A,93.99
30,6,Spring 2026,D,84.95
30,8,Fall 2025,D,89.43
30,11,Fall 2025,F,63.22
30,2,Fall 2025,F,61.23
30,9,Fall 2025,A,91.2
31,8,Fall 2025,D,84.77
31,3,Fall 2025,D,67.56
31,5,Fall 2025,A,61.38
31,10,Spring 2026,A,99.7
31,6,Fall 2025,F,68.39
31,4,Fall 2025,B,63.48
31,9,Spring 2026,F,61.33
32,10,Fall 2025,A,85.45
32,8,Spring 2026,C,86.59
32,9,Fall 2025,D,62.77
32,12,Fall 2025,A,73.91
32,4,Fall 2025,F,75.61
33,2,Fall 2025,C,69.88
33,6,Spring 2026,F,73.6
33,12,Spring 2026,B,89.77
33,7,Spring 2026,D,75.01
33,4,Fall 2025,B,64.83
33,9,Spring 2026,C,73.46
34,10,Spring 2026,A,76.29
34,6,Fall 2025,C,93.3
34,11,Fall 2025,C,92.03
34,4,Fall 2025,A,87.08
34,5,Fall 2025,C,99.46
35,10,Spring 2026,A,75.62
35,9,Fall 2025,B,98.06
35,2,Fall 2025,B,96.45
35,11,Fall 2025,A,76.2
35,12,Fall 2025,F,66.33
35,7,Spring 2026,A,85.44
36,2,Spring 2026,A,87.3
36,5,Fall 2025,A,81.15
36,11,Spring 2026,D,97.11
36,10,Spring 2026,C,97.89
36,6,Fall 2025,C,83.92
36,4,Spring 2026,A,74.24
37,8,Fall 2025,C,80.54
37,12,Fall 2025,F,88.03
37,4,Fall 2025,F,97.17
37,11,Fall 2025,F,81.25
37,10,Fall 2025,A,60.86
37,3,Spring 2026,B,69.08
37,5,Fall 2025,F,95.05
38,11,Spring 2026,B,73.27
38,3,Spring 2026,C,95.27
38,5,Fall 2025,A,95.26
38,1,Fall 2025,A,82.51
38,4,Spring 2026,D,92.79
38,10,Spring 2026,B,85.8
39,12,Fall 2025,C,98.56
39,11,Fall 2025,F,77.73
39,1,Fall 2025,F,93.12
39,7,Fall 2025,F,63.38
39,8,Spring 2026,C,70.04
39,9,Fall 2025,F,73.27
40,11,Spring 2026,B,87.61
40,3,Fall 2025,D,72.03
40,7,Fall 2025,A,97.74
41,1,Spring 2026,B,63.56
41,5,Spring 2026,C,68.79
41,2,Spring 2026,A,70.61
42,3,Spring 2026,B,86.92
42,5,Fall 2025,C,95.87
42,12,Fall 2025,C,72.21
42,6,Spring 2026,F,65.33
42,8,Spring 2026,B,76.56
43,5,Spring 2026,F,85.07
43,7,Spring 2026,B,88.56
43,2,Spring 2026,F,79.87
44,10,Spring 2026,B,98.37
44,12,Spring 2026,B,97.62
44,9,Fall 2025,C,78.45
44,11,Spring 2026,C,60.59
44,7,Spring 2026,D,64.26
44,1,Spring 2026,C,79.07
45,3,Spring 2026,A,70.98
45,4,Fall 2025,B,88.22
45,1,Fall 2025,F,74.42
45,9,Spring 2026,C,86.35
46,8,Fall 2025,D,65.28
46,11,Fall 2025,B,86.66
46,6,Spring 2026,A,81.17
46,12,Spring 2026,C,88.24
46,9,Fall 2025,A,83.68
46,3,Spring 2026,D,72.24
47,7,Fall 2025,B,61.62
